number,title,arc,series,japanese_air_date,english_air_date,filler_status,characters
24,Start Your Engines: The Chūnin Exam Begins!,Chūnin Exams (Arc),Naruto,"March 20, 2003","February 18, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Gaara', 'Kankurō', 'Kabuto Yakushi', 'Ibiki Morino', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Shino Aburame', 'Kiba Inuzuka', 'Neji Hyūga', 'Tenten', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Zaku Abumi', 'Dosu Kinuta', 'Tonbo Tobitake', 'Sukima', 'Nejiri', 'Komaza']"
25,The Tenth Question: All or Nothing!,Chūnin Exams (Arc),Naruto,"March 27, 2003","February 25, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Temari', 'Kankurō', 'Hinata Hyūga', 'Kiba Inuzuka', 'Ibiki Morino', 'Anko Mitarashi', 'Izumo Kamizuki', 'Genin']"
26,Special Report: Live from the Forest of Death!,Chūnin Exams (Arc),Naruto,"April 02, 2003","March 04, 2006",Filler,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Konohamaru', 'Anko Mitarashi', 'Moegi', 'Udon']"
27,The Chūnin Exam Stage 2: The Forest of Death,Chūnin Exams (Arc),Naruto,"April 02, 2003","April 15, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Hinata Hyūga', 'Kiba Inuzuka', 'Kabuto Yakushi', 'Kankurō', 'Dosu Kinuta', 'Oboro', 'Team Shiore']"
28,Eat or be Eaten: Panic in the Forest,Chūnin Exams (Arc),Naruto,"April 09, 2003","April 15, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shiore', 'Oboro']"
29,Naruto's Counterattack: Never Give In!,Chūnin Exams (Arc),Naruto,"April 16, 2003","April 15, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Itachi Uchiha', 'Shiore', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Mozuku']"
30,The Sharingan Revived: Dragon-Flame Jutsu!,Chūnin Exams (Arc),Naruto,"April 23, 2003","April 22, 2006",Mixed,"['Sasuke Uchiha', 'Sakura Haruno', 'Anko Mitarashi', 'Itachi Uchiha', 'Orochimaru', 'Shiore', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Zaku Abumi', 'Dosu Kinuta']"
31,Bushy Brow's Pledge: Undying Love and Protection!,Chūnin Exams (Arc),Naruto,"April 30, 2003","April 29, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Might Guy', 'Orochimaru', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi']"
32,Sakura Blossoms!,Chūnin Exams (Arc),Naruto,"May 07, 2003","May 06, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Might Guy', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi']"
33,Battle Formation: Ino–Shika–Chō!!,Chūnin Exams (Arc),Naruto,"May 14, 2003","May 13, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Neji Hyūga', 'Tenten', 'Orochimaru', 'Zaku Abumi', 'Dosu Kinuta', 'Kin Tsuchi']"
34,Akamaru Trembles: Gaara's Cruel Strength!,Chūnin Exams (Arc),Naruto,"May 21, 2003","May 20, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Gaara', 'Temari', 'Kankurō', 'Neji Hyūga', 'Tenten', 'Hinata Hyūga', 'Kiba Inuzuka', 'Shino Aburame', 'Anko Mitarashi', 'Iwashi Tatami', 'Shigure', 'Baiu', 'Midare']"
35,The Scroll's Secret: No Peeking Allowed,Chūnin Exams (Arc),Naruto,"May 28, 2003","May 27, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kabuto Yakushi', 'Oboro', 'Minoji', 'Shibire', 'Tanzō']"
36,Clone vs. Clone: Mine are Better Than Yours!,Chūnin Exams (Arc),Naruto,"June 04, 2003","June 03, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kabuto Yakushi', 'Yoroi', 'Orochimaru', 'Oboro', 'Mubi', 'Kagari']"
37,Surviving the Cut: The Rookie 9 Together Again!,Chūnin Exams (Arc),Naruto,"June 11, 2003","June 10, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Iruka', 'Hiruzen Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Kurenai Yūhi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Hayate Gekkō', 'Might Guy', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Baki', 'Gaara', 'Temari', 'Kabuto Yakushi', 'Zaku Abumi', 'Anko Mitarashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Iwashi Tatami', 'Orochimaru']"
38,Narrowing the Field: Sudden Death Elimination!,Chūnin Exams (Arc),Naruto,"June 18, 2003","June 17, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Hiruzen Sarutobi', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Hayate Gekkō', 'Kabuto Yakushi', 'Anko Mitarashi', 'Rock Lee', 'Neji Hyūga', 'Gaara', 'Ibiki Morino', 'Yoroi', 'Dosu Kinuta', 'Orochimaru']"
39,Bushy Brow's Jealousy: Lions Barrage Unleashed!,Chūnin Exams (Arc),Naruto,"July 02, 2003","June 24, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Shino Aburame', 'Zaku Abumi', 'Yoroi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Gaara', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Tenten', 'Kankurō', 'Hayate Gekkō', 'Might Guy', 'Anko Mitarashi', 'Dosu Kinuta', 'Orochimaru']"
40,Kakashi and Orochimaru: Face-to-Face!,Chūnin Exams (Arc),Naruto,"July 09, 2003","July 01, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Shino Aburame', 'Zaku Abumi', 'Hinata Hyūga', 'Kiba Inuzuka', 'Gaara', 'Kankurō', 'Misumi', 'Rock Lee', 'Neji Hyūga', 'Dosu Kinuta', 'Kin Tsuchi', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Baki', 'Zaku Abumi', 'Orochimaru']"
41,Kunoichi Rumble: The Rivals Get Serious!,Chūnin Exams (Arc),Naruto,"July 16, 2003","July 08, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Ino Yamanaka', 'Kakashi Hatake', 'Kankurō', 'Misumi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Gaara', 'Shikamaru Nara', 'Chōji Akimichi', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi', 'Suzume', 'Ami']"
42,The Ultimate Battle: Cha!,Chūnin Exams (Arc),Naruto,"July 23, 2003","July 15, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Ino Yamanaka', 'Kakashi Hatake', 'Shikamaru Nara', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi']"
43,Killer Kunoichi and a Shaky Shikamaru,Chūnin Exams (Arc),Naruto,"July 30, 2003","July 15, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Tenten', 'Temari', 'Shikamaru Nara', 'Kin Tsuchi', 'Ino Yamanaka', 'Chōji Akimichi', 'Kiba Inuzuka', 'Hinata Hyūga', 'Rock Lee', 'Gaara', 'Kankurō', 'Neji Hyūga', 'Dosu Kinuta', 'Hayate Gekkō', 'Might Guy', 'Hiruzen Sarutobi']"
44,Akamaru Unleashed! Who's Top Dog Now?,Chūnin Exams (Arc),Naruto,"August 06, 2003","July 22, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Temari', 'Kankurō', 'Iruka', 'Hayate Gekkō', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Hiruzen Sarutobi']"
45,Surprise Attack! Naruto's Secret Weapon!,Chūnin Exams (Arc),Naruto,"August 13, 2003","July 29, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Kiba Inuzuka', 'Hinata Hyūga', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Kankurō', 'Shino Aburame', 'Hayate Gekkō', 'Kurenai Yūhi']"
46,Byakugan Battle: Hinata Grows Bold!,Chūnin Exams (Arc),Naruto,"August 20, 2003","August 05, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Hiruzen Sarutobi', 'Hinata Hyūga', 'Neji Hyūga', 'Rock Lee', 'Kiba Inuzuka', 'Shino Aburame', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Hiashi Hyūga', 'Hanabi Hyūga']"
47,A Failure Stands Tall!,Chūnin Exams (Arc),Naruto,"August 27, 2003","August 12, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Hinata Hyūga', 'Neji Hyūga', 'Rock Lee', 'Kiba Inuzuka', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Hayate Gekkō', 'Might Guy', 'Kurenai Yūhi', 'Hiruzen Sarutobi']"
48,Gaara vs. Rock Lee: The Power of Youth Explodes!,Chūnin Exams (Arc),Naruto,"September 03, 2003","August 19, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Temari', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Hayate Gekkō', 'Might Guy', 'Asuma Sarutobi', 'Baki']"
49,Lee's Hidden Strength: Forbidden Secret Jutsu!,Chūnin Exams (Arc),Naruto,"September 10, 2003","August 26, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Might Guy', 'Neji Hyūga', 'Tenten', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Baki', 'Temari', 'Kankurō']"
50,The Fifth Gate: A Splendid Ninja is Born,Chūnin Exams (Arc),Naruto,"September 17, 2003","September 02, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Rock Lee', 'Gaara', 'Might Guy', 'Neji Hyūga', 'Ino Yamanaka', 'Shikamaru Nara', 'Chōji Akimichi', 'Hayate Gekkō', 'Baki', 'Temari', 'Kankurō', 'Shino Aburame', 'Dosu Kinuta']"
51,A Shadow in Darkness: Danger Approaches Sasuke,Chūnin Exams (Arc),Naruto,"September 24, 2003","September 09, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Kakashi Hatake', 'Chōji Akimichi', 'Dosu Kinuta', 'Gaara', 'Kankurō', 'Temari', 'Neji Hyūga', 'Ino Yamanaka', 'Shikamaru Nara', 'Shino Aburame', 'Hayate Gekkō', 'Asuma Sarutobi', 'Anko Mitarashi', 'Ibiki Morino', 'Ebisu', 'Iruka', 'Konohamaru', 'Kabuto Yakushi', 'Orochimaru', 'Hiruzen Sarutobi']"
52,Ebisu Returns: Naruto's Toughest Training Yet!,Chūnin Exams (Arc),Naruto,"October 01, 2003","September 16, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Ebisu', 'Konohamaru', 'Jiraiya', 'Teuchi', 'Ayame']"
53,Long Time No See: Jiraiya Returns!,Chūnin Exams (Arc),Naruto,"October 08, 2003","September 30, 2006",Mixed,"['Naruto Uzumaki', 'Kakashi Hatake', 'Jiraiya', 'Ebisu', 'Sexy Technique']"
54,The Summoning Technique: Wisdom of the Toad Sage!,Chūnin Exams (Arc),Naruto,"October 15, 2003","October 07, 2006",Mixed,"['Naruto Uzumaki', 'Jiraiya', 'Hayate Gekkō', 'Ebisu', 'Gaara', 'Dosu Kinuta', 'Baki', 'Kabuto Yakushi', 'Yūgao Uzuki', 'Sexy Technique']"
55,"A Feeling of Yearning, a Flower Full of Hope",Chūnin Exams (Arc),Naruto,"October 22, 2003","October 21, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Jiraiya', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Rock Lee', 'Neji Hyūga', 'Tenten', 'Might Guy', 'Asuma Sarutobi', 'Anko Mitarashi', 'Kurenai Yūhi', 'Ibiki Morino', 'Raidō Namiashi', 'Hiruzen Sarutobi', 'Homura Mitokado', 'Koharu Utatane', 'Mebuki Haruno', 'Sexy Technique']"
56,Live or Die: Risk it All to Win it All!,Chūnin Exams (Arc),Naruto,"October 29, 2003","October 28, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Jiraiya', 'Gamabunta', 'Iruka', 'Konohamaru', 'Anko Mitarashi', 'Nine-Tailed Fox', 'Hiruzen Sarutobi', 'Teuchi', 'Kōji', 'Matsuri (Konoha)', 'Ayame', 'Futaba']"
57,He Flies! He Jumps! He Lurks! Chief Toad Appears!,Chūnin Exams (Arc),Naruto,"November 05, 2003","November 04, 2006",Mixed,"['Naruto Uzumaki', 'Jiraiya', 'Gamabunta', 'Gaara', 'Temari', 'Kankurō', 'Baki', 'Rasa', 'Chōji Akimichi']"
58,Hospital Besieged: The Evil Hand Revealed!,Chūnin Exams (Arc),Naruto,"November 12, 2003","November 11, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Gaara', 'Temari', 'Kankurō', 'Baki', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Might Guy']"
59,The Final Rounds: Rush to the Battle Arena!,Chūnin Exams (Arc),Naruto,"November 19, 2003","November 18, 2006",Mixed,"['Naruto Uzumaki', 'Sakura Haruno', 'Kankurō', 'Gaara', 'Temari', 'Shikamaru Nara', 'Ino Yamanaka', 'Neji Hyūga', 'Hinata Hyūga', 'Kiba Inuzuka', 'Tenten', 'Genma Shiranui', 'Teuchi', 'Hiruzen Sarutobi', 'Konohamaru', 'Ayame', 'Shikaku Nara', 'Chōza Akimichi', 'Inoichi Yamanaka', 'Chūnin']"
60,Byakugan vs. Shadow Clone Technique!,Chūnin Exams (Arc),Naruto,"November 26, 2003","November 18, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Neji Hyūga', 'Hinata Hyūga', 'Gaara', 'Baki', 'Shikamaru Nara', 'Ino Yamanaka', 'Kiba Inuzuka', 'Tenten', 'Genma Shiranui', 'Raidō Namiashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Hiruzen Sarutobi', 'Rasa', 'Hiashi Hyūga', 'Hanabi Hyūga']"
61,Ultimate Defence: Zero Blind Spot!,Chūnin Exams (Arc),Naruto,"December 03, 2003","November 18, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Neji Hyūga', 'Iruka', 'Kabuto Yakushi', 'Ino Yamanaka', 'Hinata Hyūga', 'Kiba Inuzuka', 'Genma Shiranui', 'Tenten', 'Hiashi Hyūga', 'Hizashi Hyūga', 'Hanabi Hyūga', 'Kotetsu Hagane', 'Neji Hyūga']"
62,A Failure's True Power,Chūnin Exams (Arc),Naruto,"December 10, 2003","November 18, 2006",Canon,"['Naruto Uzumaki', 'Sakura Haruno', 'Neji Hyūga', 'Genma Shiranui', 'Ino Yamanaka', 'Kiba Inuzuka', 'Tenten', 'Gaara', 'Shikamaru Nara', 'Kabuto Yakushi', 'Hiashi Hyūga', 'Hizashi Hyūga', 'Hiruzen Sarutobi', 'Kotetsu Hagane']"
63,Hit it or Quit it: The Final Rounds Get Complicated!,Chūnin Exams (Arc),Naruto,"December 17, 2003","November 25, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Neji Hyūga', 'Hiashi Hyūga', 'Hizashi Hyūga', 'Genma Shiranui', 'Shikamaru Nara', 'Ino Yamanaka', 'Asuma Sarutobi', 'Hiruzen Sarutobi', 'Temari', 'Kankurō', 'Baki', 'Rasa', 'Kurenai Yūhi', 'Raidō Namiashi', 'Tenten', 'Shino Aburame', 'Hyūga Elder', 'Kotetsu Hagane', 'Hanabi Hyūga', 'Neji Hyūga']"
64,Zero Motivation: The Guy with Cloud Envy!,Chūnin Exams (Arc),Naruto,"December 24, 2003","December 02, 2006",Canon,"['Naruto Uzumaki', 'Shikamaru Nara', 'Temari', 'Kankurō', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Tenten', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Genma Shiranui', 'Kotetsu Hagane', 'Izumo Kamizuki']"
65,"Dancing Leaf, Squirming Sand",Chūnin Exams (Arc),Naruto,"December 31, 2003","December 09, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Rock Lee', 'Temari', 'Might Guy', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Asuma Sarutobi', 'Kurenai Yūhi', 'Genma Shiranui', 'Raidō Namiashi', 'Kotetsu Hagane', 'Izumo Kamizuki', 'Rasa', 'Daimyō', 'Hiruzen Sarutobi']"
66,Bushy Brow's Jutsu: Sasuke Style!,Chūnin Exams (Arc),Naruto,"January 14, 2004","December 16, 2006",Mixed,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Kankurō', 'Shikamaru Nara', 'Ino Yamanaka', 'Kiba Inuzuka', 'Rock Lee', 'Might Guy', 'Genma Shiranui', 'Kabuto Yakushi', 'Baki']"
67,"Late for the Show, but Ready to Go! The Ultimate Secret Technique is Born!",Chūnin Exams (Arc),Naruto,"January 14, 2004","December 23, 2006",Canon,"['Naruto Uzumaki', 'Sasuke Uchiha', 'Sakura Haruno', 'Kakashi Hatake', 'Gaara', 'Temari', 'Kankurō', 'Baki', 'Shikamaru Nara', 'Ino Yamanaka', 'Chōji Akimichi', 'Shino Aburame', 'Genma Shiranui', 'Rock Lee', 'Might Guy', 'Kabuto Yakushi', 'Rasa', 'Hiruzen Sarutobi']"
